,First Season,first season MAL rating,Second Season,second season MAL rating
1,Re:ZERO -Starting Life in Another World-,8.25,Re:ZERO -Starting Life in Another World- Season 2,8.37
2,86 Eighty Six,8.24,86 Eighty-Six Part 2,8.72
3,Attack on Titan,8.53,Attack on Titan Season 2,8.5
4,Mushoku Tensei: Jobless Reincarnation,8.37,Mushoku Tensei: Jobless Reincarnation Part 2,8.75
5,Food Wars! Shokugeki no Soma,8.18,Food Wars! The Second Plate,8.11
6,Bakuman.,8.2,Bakuman Season 2,8.36
7,My Teen Romantic Comedy SNAFU,8.02,My Teen Romantic Comedy SNAFU TOO!,8.23
8,March Comes In Like a Lion,8.39,March Comes In Like A Lion 2nd Season,8.96
9,Kono Oto Tomare!: Sounds of Life,7.91,Kono Oto Tomare!: Sounds of Life Season 2,8.43
10,KonoSuba: God's Blessing on This Wonderful World!,8.12,KonoSuba: God's Blessing on This Wonderful World! 2,8.28
11,Sound! Euphonium,8,Sound! Euphonium 2,8.3
12,Kaguya-sama: Love is War,8.4,Kaguya-sama: Love is War Season 2,8.65
13,Chihayafuru,8.2,Chihayafuru 2,8.4
14,Non Non Biyori,7.95,Non Non Biyori Nonstop,8.4
15,Haikyu!!,8.45,Haikyu!! 2nd Season,8.65
16,Assassination Classroom,8.1,Assassination Classroom Second Season,8.51
17,That Time I Got Reincarnated as a Slime,8.13,That Time I Got Reincarnated as a Slime Season 2,8.4
18,The Quintessential Quintuplets,7.68,The Quintessential Quintuplets 2,8.12
19,Aria the Animation,7.68,Aria the Natural,8.18
20,Fruits Basket 2019 1st Season,8.22,Fruits Basket 2nd Season,8.57
21,Mob Psycho 100,8.48,Mob Psycho 100 II,8.81
22,Fate/Zero,8.29,Fate/Zero Season 2,8.57
23,Laid-Back Camp,8.27,Laid-Back Camp Season 2,8.53
24,Kingdom,7.97,Kingdom: Season 2,8.36
25,Spice and Wolf,8.24,Spice and Wolf II,8.33
26,Moriarty the Patriot,8.14,Moriarty the Patriot Season 2,8.24
27,Honey and Clover,8.02,Honey and Clover II,8.22
28,My Hero Academia,7.94,My Hero Academia Season 2,8.16
29,The Disastrous Life of Saiki K.,8.43,The Disastrous Life of Saiki K. 2,8.44
30,Teasing Master Takagi-san,7.72,Teasing Master Takagi-san 2,8.09
